id	tier	status	severity	issue	pr	round	title
B-001	1	IMPLEMENTED		1900	1901		Duplicate `"deleted"` key in 3 measurement encoders resurrects soft-deleted records
B-002	2	IMPLEMENTED		1906	1907		Dashboard follow-up `setMonth` bug under-counts follow-ups ~half the year
B-003	2	IMPLEMENTED		1931	1932		Subsequent-encounter double-tap still duplicates encounters (R9-3 scope-out)
B-004	3	IMPLEMENTED		1969	1973		Stock Management signed-form leak across navigation (R3-2/R8-4 class)
B-005	2	IMPLEMENTED		2029	2030		Concurrent view exports silently swallowed
B-006	4	REFUTED					photos.js catch returns `undefined` from respondWith
B-007	4	REFUTED	LOW				SW stale IndexedDB handles — SPLIT VERDICT (verification sweep 2026-07-06): statistics.js half ❌ REFUTED; nodes.js half 
B-008	1	IMPLEMENTED	HIGH	1902	1903		IndexedDB save-failure wedges download lane in `Loading`
B-009	3	IMPLEMENTED		1965	1966		Dashboard "NaN%" on empty denominators
B-010	4	READY					Shard-blind IndexedDB queries scan every shard on multi-HC tablets
B-011	4	IMPLEMENTED		1914	1915		Signature-less stock_updates dropped from sync (innerJoin on optional field)
B-012	4	READY					Device title→robot-user collision
B-013	4	READY					Pairing-code consume wipes code before token mint, no transaction
B-014	4	READY					Remaining UTC residuals (R2-4 class, grouped)
B-015	4	READY					/api/file-upload: no extension/size limits
B-016	4	READY					No server-side range validation on clinical numerics
B-018	4	READY					MUAC unit-LABEL selection still inline per site
B-019	3	PARKED					hedley_view_export requeue path missing switchUserBack
B-020	1	PARKED					Stats recalc non-atomic → dashboard blanks/stale for an HC
B-021	4	READY	LOW				Unbatched soft-delete cascade can time out (CORRECTED: availability only, atomic rollback)
B-022	4	READY					i18n objective leftover: Kirundi prose in `english` field
B-023	4	READY				10	Stale merge-conflict "REVIEW:" comment committed on develop
B-024	2	IMPLEMENTED		1937	1938	10	4 of 5 progress-report pages never fetch health centers → Next-Appointment "Location" renders blank
B-025	1	IMPLEMENTED	HIGH	1888	1889	10	Upload lanes wedge the WHOLE sync cycle permanently when the JS handler dies without replying
B-026	1	IMPLEMENTED	HIGH	1898	1899	10	Deferred-photo download lane wedges permanently on mid-body network drop
B-027	2	PARKED				10	WhatsApp screenshot pipeline: several failure paths emit no completion event → nurse trapped behind a Close-less modal
B-028	4	IMPLEMENTED			2077	10	`IndexDbQueryGetShardsEntityByUuid` crashes on not-found — its PRIMARY use case → sync-incident diagnostics never sent
B-029	2	IMPLEMENTED		1916	1917	10	WellChild nutrition-assessment saves accept out-of-range height/weight (feeds z-scores); same shared forms are constrain
B-030	3	IMPLEMENTED		1957	1958	10	Newborn-exam Pregnancy Summary: dirty flags set but NEVER read; birthWeight has no flag → contradictory/unclearable reco
B-031	3	IMPLEMENTED		1959	1960	10	NCD creatinine/BUN/ALT/AST results: clear-goes-stale (missing dirty flags; lipid panel in the SAME file has them)
B-032	2	IMPLEMENTED		1908	1909	10	hedley_stats dashboard queries join measurement values with NO deleted filter (module has zero `field_data_field_deleted
B-033	2	IMPLEMENTED		1935	1936	10	Group-education stats count soft-deleted persons and ship their names to the dashboard
B-034	4	WONTFIX				10	GWG backfill script computes/writes indicators from soft-deleted prenatal content
B-035	4	READY				10	SW `RegistrationFailed` reports `"{}"`
B-036	4	READY				10	NutritionFeeding `sachetsPerDay` deliberately cleared on supplement-type change, silently resurrected at save
B-037	1	IMPLEMENTED		1890	1891	10	Prenatal Medical History: `preeclampsiaInFamily` required by the payload but NOT counted → Save at "4/4" silently discar
B-038	3	PARKED				11	No handling for Dexie open/upgrade failure (VersionError on bundle rollback, quota-aborted upgrade) → device silently st
B-039	4	READY				11	13 residual strict-false `deleted` filters (incl. `view()` — the GET-by-uuid path for EVERY type) + a countQuery double-
B-040	4	READY				11	IndexedDB/Cache-Storage housekeeping: WhatsApp screenshot PNGs never deleted from Cache Storage (+3 dead-row accumulatio
B-041	1	IMPLEMENTED		1892	1893	11	Dashboard HIV undercounts known-positive patients: the "dedicated" execution-note query reuses `$query` instead of cloni
B-042	2	IMPLEMENTED		1933	1934	11	Nutrition-report prevalence %: denominator deduped by child but numerator keeps per-encounter duplicates → percentages i
B-043	3	IMPLEMENTED		2092	2093	11	Acute-illness fever + prenatal MUAC read a GROUP_CONCAT list with a scalar cast → wrong flag on duplicate measurements; 
B-044	2	IMPLEMENTED		1910	1911	11	Villages without a health center are silently dropped from the all-devices sync feed (innerJoin field_uuid via optional 
B-045	2	IMPLEMENTED		1914	1915	11	Five photo classes + 2 single-ref classes inner-join on an OPTIONAL field → rows silently dropped from sync (exact sibli
B-046	2	IMPLEMENTED		1939	1940	11	`explode(',', NULL)` on empty multi-value fields emits `[""]` → phantom empty participant UUID
B-047		READY				11	Revoked/deleted nurse's PIN keeps working forever: client drops the `deleted`/`status` tombstone and re-saves the nurse 
B-048	2	IMPLEMENTED		1919	1920	11	CHW village authorization is enforced only on the PinCode page; every UserPage checks the HC but never the village → rea
B-049	2	PARKED				11	"Stop Syncing" a health center silently strands its queued unsynced measurements; the pending-upload counter vanishes wi
B-050	3	IMPLEMENTED		1955	1956	11	Background catch-up sync (>45s) force-reloads the page mid-workflow, discarding a nurse's in-progress form entries
B-051	4	READY	LOW			11	PIN cached before validation + non-logout session end leaves the previous nurse's HC/village selection to be silently in
B-052	1	IMPLEMENTED		1896	1897	11	WellChild immunisation "next visit" date returns Nothing for on-schedule children: the 6-month long-interval branch is d
B-053	3	IMPLEMENTED		1961	1962	11	WellChild ECD next-visit ladder skips the 18-month rung → 18-month developmental screening late
B-054	2	IMPLEMENTED		1904	1905	11	`filterResolvedFollowUps` comparison is INVERTED: keeps already-resolved follow-ups, drops still-open ones (same class a
B-055		IMPLEMENTED		2050	2051	11	✅ **CLINICIAN GATE LIFTED 2026-08-06 — the requirement is written down and says DTP.** Traced `29a578fde` ("Logic for su
B-056	4	WONTFIX				12	NCD isolated diabetes is medicated but never referred: `referForDiabetes` requires coexisting hypertension, `medicateFor
B-057	3	IMPLEMENTED		1963	1964	12	pmtct_participant / relationship shards: post-insert recalc SETs one person's shards, clobbering the presave two-person 
