resource_type,owner,owner_type,source,id,concept_class,datatype,name,description,eheza_category,eheza_field_path,confidence
Concept,TIP-Global-Health,Organization,EHEZA,EH-WC-001,Finding,Numeric,Head circumference (cm),Child head circumference in centimetres,Anthropometry,HeadCircumferenceValue.headCircumference,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-WC-002,Procedure,N/A,BCG vaccine,BCG (Bacillus Calmette-Guerin) vaccination,Immunisation,WellChildVaccineType.VaccineBCG,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-WC-003,Procedure,N/A,Oral polio vaccination,Oral polio vaccine (OPV),Immunisation,WellChildVaccineType.VaccineOPV,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-WC-004,Drug,N/A,Diphtheria Tetanus and Pertussis vaccination,DTP / DPT vaccine,Immunisation,"WellChildVaccineType.VaccineDTP; VaccineDTPStandalone",high
Concept,TIP-Global-Health,Organization,EHEZA,EH-WC-005,Drug,N/A,Pneumococcal conjugate vaccine,PCV13,Immunisation,WellChildVaccineType.VaccinePCV13,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-WC-006,Drug,N/A,"Rotavirus vaccine, live",Rotavirus vaccine (Rotarix),Immunisation,WellChildVaccineType.VaccineRotarix,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-WC-007,Drug,N/A,"Polio vaccination, inactivated",Inactivated polio vaccine (IPV),Immunisation,WellChildVaccineType.VaccineIPV,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-WC-008,Drug,N/A,Measles-Rubella vaccine,MR vaccine,Immunisation,WellChildVaccineType.VaccineMR,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-WC-009,Diagnosis,N/A,Lethargy,Lethargy or unresponsiveness,Symptoms,"WellChildSymptom.SymptomLethargyOrUnresponsiveness; SymptomsGeneralSign.Lethargy",high
Concept,TIP-Global-Health,Organization,EHEZA,EH-WC-010,Diagnosis,N/A,Omphalitis of the newborn,Umbilical cord redness / infection,Symptoms,WellChildSymptom.SymptomUmbilicalCordRedness,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-WC-011,Finding,Coded,Nuchal rigidity,Stiff neck (or bulging fontanelle – latter not represented),Symptoms,WellChildSymptom.SymptomStiffNeckOrBulgingFontanelle,medium
Concept,TIP-Global-Health,Organization,EHEZA,EH-WC-012,Diagnosis,N/A,Neonatal tetanus,Rigid muscles / jaw clenching preventing feeding,Symptoms,WellChildSymptom.SymptomRigidMusclesOrJawClenchingPreventingFeeding,high
